brand,description,color_material,price
Samsung, 19.5 cu. ft. 3-Door French Door Counter Depth Refrigerator with Wi-Fi, Fingerprint Resistant Stainless Steel,1349.99
GE, 24.8 Cu. Ft. French Door Refrigerator, Slate,1709.99
GE, 27.8 Cu. Ft. French Door Refrigerator, Black Slate,2814.99
GE, 22.1 Cu. Ft. French Door Counter-Depth Refrigerator, Slate,2814.99
Fisher & Paykel, 16.9 Cu. Ft. French Door Refrigerator, Ezkleen Stainless Steel,2899.0
Samsung, BESPOKE 23 cu. ft. 4-Door Flex™ French Door Counter Depth Refrigerator with WiFi and Customizable Panel Colors, Navy Glass,3199.99
Samsung, Family Hub 28 Cu. Ft. 4-Door Flex French Door Fingerprint Resistant Refrigerator, Stainless steel,3899.99
Viking, Professional 5 Series Quiet Cool 17.8 Cu. Ft. Refrigerator, Stainless steel,7829.0
GE, 17.5 Cu. Ft. French Door Counter-Depth Refrigerator, Black Slate,2339.99
GE, 25.6 Cu. Ft. French Door Refrigerator, High-Gloss White,2069.99
GE, 27.8 Cu. Ft. French Door in Door Refrigerator with Water and Ice Dispenser, Slate,2904.99
GE, 17.5 Cu. Ft. French Door Counter-Depth Refrigerator, Stainless steel,2249.99
Samsung, 28.1 Cu. Ft. 4-Door Flex French Door Fingerprint Resistant Refrigerator, Stainless steel,2999.99
Insignia™, 20.1 Cu. Ft. French Door Counter-Depth Refrigerator with Water Dispenser, Stainless steel,1699.99
KitchenAid, 21.9 Cu. Ft. French Door Counter-Depth Refrigerator, Black stainless steel,3649.99
GE, 24.8 Cu. Ft. French Door Refrigerator, High Gloss White,1619.99
Thermador, Freedom Collection 19.4 cu. ft. French Door Built-in Refrigerator in Panel Ready,,8299.0
Dacor, 21.6 Cu Ft Column Built In Panel Ready Refrigerator with SteelCool Interior, Panel Ready,7499.0
GE, 27.8 Cu. Ft. French Door Refrigerator, Slate,2724.99
KitchenAid, 25.2 Cu. Ft. French Door Refrigerator, Stainless steel,2199.99
Whirlpool, 20 Cu. Ft. French Door Counter-Depth Refrigerator, Fingerprint Resistant Black Stainless,2399.99
KitchenAid, 22.1 Cu. Ft. French Door Refrigerator, Black stainless steel,2399.99
Fisher & Paykel, Series 7 4-Door French Door Refrigerator, Stainless steel,3099.0
Samsung, 28 Cu. Ft. 4-Door French Door Refrigerator, Tuscan Stainless Steel,2789.99
Whirlpool, 24.5 Cu. Ft. 4-Door French Door Refrigerator, Black,2399.99
Café, 27.8 Cu. Ft. French Door Refrigerator with Hot Water Dispenser, Stainless steel,3084.99
KitchenAid, 24.2 Cu. Ft. French Door Built-In Refrigerator, Stainless steel,9999.99
Samsung, 28.1 Cu. Ft. 4-Door Flex French Door Fingerprint Resistant Refrigerator, Black stainless steel,3099.99
KitchenAid, 23.8 Cu. Ft. French Door Counter-Depth Refrigerator, Stainless steel,4499.99
Samsung, Family Hub 22 Cu. Ft. 4-Door Flex French Door Counter-Depth Fingerprint Resistant Refrigerator, Stainless steel,3999.99
Samsung, 28 Cu. Ft. French Door Refrigerator with CoolSelect Pantry™, White,2339.99
Samsung, BESPOKE 29 cu. ft. 4-Door Flex™ French Door Refrigerator with WiFi and Customizable Panel Colors, Matte Black Steel,3099.99
Samsung, 22.1 Cu. Ft. 4-Door Flex French Door Counter-Depth Fingerprint Resistant Refrigerator with Food ShowCase, Stainless steel,3399.99
Frigidaire, Gallery 22.4 Cu. Ft. French Door Counter-Depth Refrigerator, Smudge-Proof® Stainless Steel,2384.99
GE, 18.6 Cu. Ft. French Door Counter-Depth Refrigerator, High Gloss Black,1619.99
Frigidaire, Gallery 26.8 Cu. Ft. French Door Refrigerator, Black stainless steel,2474.99
GE, 18.6 Cu. Ft. French Door Counter-Depth Refrigerator, High Gloss White,1619.99
Fisher & Paykel, Series 7 31 inch 16.9 cu ft Freestanding French Door Refrigerator with Ice and Water, Black,2999.0
Samsung, 22.4 Cu. Ft. 4-Door French Door Counter-Depth Refrigerator with Food Showcase, Tuscan Stainless Steel,3239.99
GE, 27.8 Cu. Ft. French Door in Door Refrigerator, Black Slate,2994.99
